,Date,month,Open,High,Low,Close,Volume,Market Cap,Mean,normalize,Diff,Class
68,31-Aug-17,Aug,4555.59,4736.05,4549.4,4703.39,"1,944,930,000","75,322,300,000",4629.49,3.420201629,-0.150454235,TRUE
69,30-Aug-17,Aug,4570.36,4626.52,4471.41,4565.3,"1,937,850,000","75,556,600,000",4567.83,3.364781764,-0.055419864,FALSE
70,29-Aug-17,Aug,4389.21,4625.68,4352.13,4579.02,"2,486,080,000","72,553,800,000",4484.115,3.289538918,-0.075242847,TRUE
71,28-Aug-17,Aug,4384.45,4403.93,4224.64,4382.66,"1,959,330,000","72,467,900,000",4383.555,3.199155825,-0.090383093,FALSE
72,27-Aug-17,Aug,4345.1,4416.59,4317.29,4382.88,"1,537,460,000","71,809,200,000",4363.99,3.181570848,-0.017584976,TRUE
73,26-Aug-17,Aug,4372.06,4379.28,4269.52,4352.4,"1,511,610,000","72,249,100,000",4362.23,3.179988964,-0.001581884,FALSE
74,25-Aug-17,Aug,4332.82,4455.7,4307.35,4371.6,"1,727,970,000","71,595,100,000",4352.21,3.170983012,-0.009005953,TRUE
75,24-Aug-17,Aug,4210.915,4355.74,4192.88,4261.56,"2,037,750,000","68,363,900,000",4236.2375,3.066747199,-0.104235812,TRUE
76,23-Aug-17,Aug,4089.01,4255.78,4078.41,4151.52,"2,369,820,000","67,553,000,000",4120.265,2.962511387,-0.104235812,TRUE
77,22-Aug-17,Aug,3998.35,4128.76,3674.58,4100.52,"3,764,240,000","66,051,000,000",4049.435,2.898849548,-0.063661839,TRUE
78,21-Aug-17,Aug,4090.48,4109.14,3988.6,4001.74,"2,800,890,000","67,567,100,000",4046.11,2.895861046,-0.002988502,FALSE
79,20-Aug-17,Aug,4189.31,4196.29,4069.88,4087.66,"2,109,770,000","69,192,700,000",4138.485,2.97888748,0.083026434,FALSE
80,19-Aug-17,Aug,4137.75,4243.26,3970.55,4193.7,"2,975,820,000","68,333,100,000",4165.725,3.003370729,0.024483248,TRUE
81,18-Aug-17,Aug,4324.34,4370.13,4015.4,4160.62,"2,941,710,000","71,406,500,000",4242.48,3.072357944,0.068987215,FALSE
82,17-Aug-17,Aug,4384.44,4484.7,4243.71,4331.69,"2,553,360,000","72,389,100,000",4358.065,3.176245472,0.103887528,FALSE
83,16-Aug-17,Aug,4200.34,4381.23,3994.42,4376.63,"2,272,040,000","69,342,700,000",4288.485,3.11370713,-0.062538342,TRUE
84,15-Aug-17,Aug,4326.99,4455.97,3906.18,4181.93,"3,258,050,000","71,425,500,000",4254.46,3.08312554,-0.030581591,FALSE
85,14-Aug-17,Aug,4066.1,4325.13,3989.16,4325.13,"2,463,090,000","67,112,300,000",4195.615,3.030235791,-0.052889749,TRUE
86,13-Aug-17,Aug,3858.365,4137.525,3801.43,4104.92,"3,159,090,000","64,034,100,000",3981.6425,2.837917808,-0.192317984,TRUE
87,12-Aug-17,Aug,3616.0925,3908.6225,3586.775,3877.77,"2,219,590,000","60,242,100,000",3746.93125,2.626959884,-0.210957924,TRUE
88,11-Aug-17,Aug,3478.96625,3681.03625,3453.1225,3629.525,"2,021,190,000","55,668,000,000",3554.245625,2.453774494,-0.17318539,TRUE
89,10-Aug-17,Aug,3341.84,3453.45,3319.47,3381.28,"1,515,110,000","55,134,700,000",3361.56,2.280589104,-0.17318539,TRUE
90,9-Aug-17,Aug,3420.4,3422.76,3247.67,3342.47,"1,468,960,000","56,424,900,000",3381.435,2.298452707,0.017863604,FALSE
91,8-Aug-17,Aug,3370.22,3484.85,3345.83,3419.94,"1,752,760,000","55,590,300,000",3395.08,2.310716801,0.012264094,TRUE
92,7-Aug-17,Aug,3212.78,3397.68,3180.89,3378.94,"1,482,280,000","52,987,300,000",3295.86,2.221538097,-0.089178704,TRUE
93,6-Aug-17,Aug,3257.61,3293.29,3155.6,3213.94,"1,105,030,000","53,720,900,000",3235.775,2.167533839,-0.054004258,TRUE
94,5-Aug-17,Aug,3032.27,3096.31,2949.66,3054.915,"1,945,700,000","47,778,200,000",3043.5925,1.994800657,-0.172733182,TRUE
95,4-Aug-17,Aug,2806.93,2899.33,2743.72,2895.89,"1,002,120,000","46,276,200,000",2851.41,1.822067474,-0.172733182,TRUE
96,3-Aug-17,Aug,2709.56,2813.31,2685.14,2804.73,"804,797,000","44,666,400,000",2757.145,1.737342312,-0.084725162,TRUE
97,2-Aug-17,Aug,2727.13,2762.53,2668.59,2710.67,"1,094,950,000","44,950,800,000",2718.9,1.702967796,-0.034374517,FALSE
98,1-Aug-17,Aug,2871.3,2921.35,2685.61,2718.26,"1,324,670,000","47,321,800,000",2794.78,1.771168562,0.068200767,FALSE
99,31-Jul-17,Jul,2763.24,2889.62,2720.61,2875.34,"860,575,000","45,535,800,000",2819.29,1.793198093,0.022029531,TRUE
